CustomerID,Age,Gender,AnnualIncome,Tenure,Transactions,AvgBalance,LoanHistory,CreditCardUsage,DefaultHistory,Churn,P_Hard,P_Soft,Change_Score,P_Fused,Churn_Predicted,Rank
CUST6456,54,Male,243815,2,157,0.0,1,1,1,1,0.9753453432070635,0.49,0.3,0.954748883529547,1,1
CUST9592,30,Female,202700,2,114,0.0,1,1,0,0,0.9753453432070635,0.4,0.3,0.9524822635907388,1,2
CUST10932,32,Female,259179,2,108,0.0,0,0,0,1,0.9753453432070635,0.4,0.3,0.9524822635907388,1,4
CUST9789,36,Male,259317,2,106,0.0,1,1,0,1,0.9753453432070635,0.4,0.3,0.9524822635907388,1,3
CUST9676,44,Male,203413,0,130,0.0,1,1,0,1,0.9667646529485872,0.4,0.5,0.952191439008641,1,7
CUST7596,56,Male,290638,0,163,0.0,1,0,0,1,0.9667646529485872,0.4,0.5,0.952191439008641,1,6
CUST4375,40,Female,247219,0,101,0.0,1,0,0,0,0.9667646529485872,0.4,0.5,0.952191439008641,1,5
CUST4387,45,Female,471326,2,116,87053.87,0,0,1,1,0.9753453432070635,0.49,0.0,0.9506568455092472,1,9
CUST2252,23,Male,385385,2,106,87723.7,0,1,1,1,0.9753453432070635,0.49,0.0,0.9506568455092472,1,8
CUST10156,45,Male,361711,2,137,42670.03,1,0,1,1,0.9753453432070635,0.49,0.0,0.9506568455092472,1,10
CUST2708,66,Male,1269077,0,154,344382.92,1,0,1,1,0.966764652948587,0.49,0.2,0.9503554310602284,1,15
CUST2908,39,Male,401107,0,148,81087.84,1,0,1,1,0.9667646529485872,0.49,0.2,0.9503554310602284,1,16
CUST5891,21,Female,2313415,0,108,709137.72,1,0,1,1,0.966764652948587,0.49,0.2,0.9503554310602284,1,19
CUST3226,40,Male,1352199,0,107,396526.32,1,0,1,1,0.966764652948587,0.49,0.2,0.9503554310602284,1,17
CUST1339,65,Male,1198982,0,124,413125.81,1,0,1,1,0.966764652948587,0.49,0.2,0.9503554310602284,1,12
CUST9445,66,Female,1079950,0,133,322916.76,1,0,1,0,0.966764652948587,0.49,0.2,0.9503554310602284,1,21
CUST6713,39,Female,1713627,0,138,449451.56,1,0,1,0,0.966764652948587,0.49,0.2,0.9503554310602284,1,20
CUST1796,22,Male,859103,0,105,270745.26,1,0,1,0,0.966764652948587,0.49,0.2,0.9503554310602284,1,14
CUST9660,29,Female,653251,0,116,174768.01,1,0,1,0,0.966764652948587,0.49,0.2,0.9503554310602284,1,22
CUST5874,23,Female,1937762,0,142,541431.54,1,0,1,1,0.966764652948587,0.49,0.2,0.9503554310602284,1,18
CUST1108,25,Female,202928,0,111,89189.33,1,0,1,1,0.9667646529485872,0.49,0.2,0.9503554310602284,1,11
CUST1508,33,Male,351521,0,120,195623.02,1,0,1,1,0.966764652948587,0.49,0.2,0.9503554310602284,1,13
CUST3218,52,Male,299830,21,133,0.0,0,1,1,1,0.9624029534719581,0.49,0.3,0.9501777071846153,1,24
CUST9786,26,Female,271587,20,136,0.0,0,1,1,0,0.9624029534719581,0.49,0.3,0.9501777071846153,1,25
CUST2993,32,Male,265470,21,150,0.0,0,1,1,1,0.9624029534719581,0.49,0.3,0.9501777071846153,1,23
CUST8186,33,Male,376031,10,132,27034.81,0,1,1,0,0.9721496078825659,0.49,0.0,0.9494733562440605,1,40
CUST7090,28,Male,567209,5,128,66386.11,1,1,1,1,0.9721496078825659,0.49,0.0,0.9494733562440605,1,38
CUST6376,26,Male,321232,5,117,79203.01,0,1,1,1,0.9721496078825659,0.49,0.0,0.9494733562440605,1,35
CUST6610,19,Female,341981,8,166,67764.51,1,1,1,1,0.9721496078825659,0.49,0.0,0.9494733562440605,1,36
CUST3629,33,Male,374953,6,112,46210.68,0,0,1,1,0.9721496078825659,0.49,0.0,0.9494733562440605,1,32
CUST6863,33,Male,255210,9,109,33111.68,1,0,1,0,0.9721496078825659,0.49,0.0,0.9494733562440605,1,37
CUST3757,49,Male,314527,7,119,72710.7,0,0,1,0,0.9721496078825659,0.49,0.0,0.9494733562440605,1,33
CUST4684,42,Female,443095,6,135,70411.21,1,1,1,1,0.9721496078825659,0.49,0.0,0.9494733562440605,1,34
CUST3618,47,Male,261915,9,103,76104.67,0,0,1,1,0.9721496078825659,0.49,0.0,0.9494733562440605,1,31
CUST1456,32,Male,292199,8,117,68216.67,1,0,1,1,0.9721496078825659,0.49,0.0,0.9494733562440605,1,27
CUST2065,48,Female,272832,5,144,64899.87,1,1,1,1,0.9721496078825659,0.49,0.0,0.9494733562440605,1,30
CUST8612,39,Male,266798,7,127,71890.91,0,0,1,0,0.9721496078825659,0.49,0.0,0.9494733562440605,1,42
CUST8619,35,Male,266083,9,149,28272.23,1,0,1,1,0.9721496078825659,0.49,0.0,0.9494733562440605,1,43
CUST9915,35,Female,337293,6,112,56446.49,0,0,1,1,0.9721496078825659,0.49,0.0,0.9494733562440605,1,45
CUST1421,46,Female,209879,9,138,72599.91,0,1,1,0,0.9721496078825659,0.49,0.0,0.9494733562440605,1,26
CUST10543,35,Female,364230,8,112,19511.28,1,0,1,0,0.9721496078825659,0.49,0.0,0.9494733562440605,1,46
CUST1784,50,Male,245452,5,115,26453.06,1,1,1,1,0.9721496078825659,0.49,0.0,0.9494733562440605,1,29
CUST8209,49,Male,200056,10,140,45198.95,0,0,1,1,0.9721496078825659,0.49,0.0,0.9494733562440605,1,41
CUST8894,47,Female,369640,9,106,65385.76,0,0,1,0,0.9721496078825659,0.49,0.0,0.9494733562440605,1,44
CUST1471,64,Female,334845,8,102,11940.04,1,1,1,1,0.9721496078825659,0.49,0.0,0.9494733562440605,1,28
CUST7204,57,Male,306948,6,121,62993.89,0,0,1,1,0.9721496078825659,0.49,0.0,0.9494733562440605,1,39
CUST5037,68,Male,265781,1,103,0.0,1,1,0,0,0.9667646529485872,0.4,0.3,0.9493569787110264,1,48
CUST1278,18,Male,294176,1,124,0.0,1,0,0,1,0.9667646529485872,0.4,0.3,0.9493569787110264,1,47
CUST6601,37,Male,374798,2,125,74608.41,0,0,0,0,0.9753453432070635,0.4,0.0,0.9481963775680428,1,62
CUST8840,38,Female,255450,2,122,79345.08,1,0,0,0,0.9753453432070635,0.4,0.0,0.9481963775680428,1,64
CUST5984,39,Female,280528,2,117,82725.48,1,1,0,1,0.9753453432070635,0.4,0.0,0.9481963775680428,1,61
CUST5789,30,Male,371003,2,150,74177.63,1,1,0,0,0.9753453432070635,0.4,0.0,0.9481963775680428,1,60
CUST1941,22,Male,328514,2,124,54549.9,1,1,0,1,0.9753453432070635,0.4,0.0,0.9481963775680428,1,49
CUST9759,67,Female,260403,2,150,74612.69,1,1,0,0,0.9753453432070635,0.4,0.0,0.9481963775680428,1,66
CUST5593,49,Male,238795,2,129,68051.31,0,0,0,1,0.9753453432070635,0.4,0.0,0.9481963775680428,1,59
CUST5138,33,Female,350468,2,93,90248.46,0,1,0,1,0.9753453432070635,0.4,0.0,0.9481963775680428,1,56
CUST3917,57,Male,332316,2,112,34639.09,1,0,0,1,0.9753453432070635,0.4,0.0,0.9481963775680428,1,53
CUST4063,18,Female,407746,2,123,93755.54,0,1,0,0,0.9753453432070635,0.4,0.0,0.9481963775680428,1,54
CUST10020,61,Female,483635,2,135,78058.38,0,1,0,1,0.9753453432070635,0.4,0.0,0.9481963775680428,1,67
CUST3421,29,Male,553784,2,136,104357.18,0,0,0,1,0.9753453432070635,0.4,0.0,0.9481963775680428,1,51
CUST7925,34,Male,349519,2,120,55873.58,0,0,0,0,0.9753453432070635,0.4,0.0,0.9481963775680428,1,63
